age_group,age_group_MB,population_2020est
0 to 4 years,0-9,"85,220"
5 to 9 years,0-9,"89,507"
10 to 14 years,10-19,"86,583"
15 to 19 years,10-19,"85,808"
20 to 24 years,20-29,"96,636"
25 to 29 years,20-29,"97,157"
30 to 34 years,30-39,"98,789"
35 to 39 years,30-39,"95,203"
40 to 44 years,40-49,"86,739"
45 to 49 years,40-49,"82,541"
50 to 54 years,50-59,"80,302"
55 to 59 years,50-59,"89,949"
60 to 64 years,60-69,"83,163"
65 to 69 years,60-69,"70,981"
70 to 74 years,70-79,"57,001"
75 to 79 years,70-79,"38,329"
80 to 84 years,80-89,"25,922"
85 to 89 years,80-89,"16,952"
90 to 94 years,90-99,"8,968"
95 to 99 years,90-99,"3,010"
100 years and over,100+,503